                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0392,                 2.7281,                 2.1247,                0.27458,                0.13884,                0.09171,                 0.0369,                 2.3561,                 3.8284,                 2.9687,               0.070024,              0.0033307,              0.0033307
                      2,                 1.9713,                 2.5785,                 2.0675,                0.42177,                0.31504,                0.28304,                0.14288,                 2.0473,                 2.8514,                 2.2189,               0.040017,              0.0066575,              0.0066575
                      3,                 1.8729,                 2.4009,                 1.9767,                0.41484,                0.36315,                0.33782,                0.18241,                 1.9118,                 2.3575,                 2.0981,              0.0099848,              0.0099583,              0.0099583
                      4,                 1.8146,                 2.3113,                 1.9317,                0.46134,                 0.3762,                0.38067,                0.20834,                 1.9167,                 2.3523,                 2.0884,              0.0099123,              0.0099123,              0.0099123
                      5,                 1.7518,                  2.196,                 1.8691,                0.42019,                0.42858,                0.40986,                0.24897,                 1.8103,                  2.159,                 1.9892,              0.0098445,              0.0098445,              0.0098445
                      6,                  1.738,                 2.1388,                 1.8497,                0.49032,                0.40667,                0.42181,                 0.2449,                  1.839,                 2.0763,                 1.9987,              0.0097577,              0.0097577,              0.0097577
                      7,                 1.7098,                 2.1621,                   1.85,                0.44926,                0.48046,                0.44821,                0.25698,                 1.7868,                  1.986,                 1.9434,              0.0096524,              0.0096524,              0.0096524
                      8,                 1.6912,                 2.1282,                 1.8399,                0.47105,                0.47737,                0.44742,                 0.2758,                   1.74,                 1.9954,                 1.9308,              0.0095289,              0.0095289,              0.0095289
                      9,                 1.6508,                 2.0532,                 1.8023,                0.46066,                0.52798,                0.49957,                0.30305,                  1.691,                  1.828,                 1.8495,              0.0093877,              0.0093877,              0.0093877
                     10,                 1.6359,                 2.0282,                 1.7908,                0.49937,                0.48964,                0.50433,                0.32782,                 1.6014,                 1.8408,                 1.7879,              0.0092294,              0.0092294,              0.0092294
                     11,                 1.6221,                 2.0086,                 1.7817,                0.49107,                0.54298,                0.50208,                0.31553,                 1.6401,                 1.8798,                 1.8035,              0.0090546,              0.0090546,              0.0090546
                     12,                 1.5938,                 1.9488,                 1.7556,                0.51696,                 0.5284,                0.52011,                0.33891,                 1.6438,                 1.8826,                  1.805,               0.008864,               0.008864,               0.008864
                     13,                 1.5652,                 1.9019,                 1.7303,                 0.5007,                0.51855,                0.52318,                0.34459,                 1.5487,                 1.7982,                 1.7292,              0.0086584,              0.0086584,              0.0086584
                     14,                 1.5477,                 1.8721,                 1.7183,                0.50543,                0.51525,                 0.5229,                0.36472,                  1.445,                 1.7058,                 1.6579,              0.0084385,              0.0084385,              0.0084385
                     15,                 1.5566,                 1.8723,                 1.7155,                 0.5521,                0.52494,                0.53124,                0.36342,                 1.4936,                 1.7347,                 1.7096,              0.0082052,              0.0082052,              0.0082052
                     16,                 1.5505,                 1.8448,                 1.7142,                0.52031,                 0.5622,                0.54233,                0.38344,                 1.4479,                 1.6969,                 1.6606,              0.0079595,              0.0079595,              0.0079595
                     17,                 1.5302,                  1.817,                 1.7008,                0.55576,                 0.5595,                0.52649,                0.35911,                 1.4431,                 1.6737,                 1.6596,              0.0077023,              0.0077023,              0.0077023
                     18,                 1.5145,                 1.7878,                  1.684,                0.56248,                0.54578,                 0.5674,                0.39934,                 1.4359,                 1.6638,                 1.6469,              0.0074347,              0.0074347,              0.0074347
                     19,                 1.5065,                 1.7684,                 1.6785,                0.58163,                 0.5494,                0.58915,                0.41058,                  1.439,                 1.6389,                 1.6374,              0.0071576,              0.0071576,              0.0071576
                     20,                 1.4961,                 1.7505,                 1.6631,                0.61574,                0.53582,                0.58117,                0.41425,                 1.4134,                 1.6772,                 1.6305,              0.0068722,              0.0068722,              0.0068722
                     21,                 1.4851,                 1.7194,                 1.6519,                0.54652,                0.59469,                0.59259,                0.42081,                 1.3934,                 1.5925,                 1.6079,              0.0065796,              0.0065796,              0.0065796
                     22,                 1.4605,                 1.6889,                 1.6394,                0.61421,                0.57066,                0.61483,                0.43443,                 1.4219,                 1.5893,                 1.6198,               0.006281,               0.006281,               0.006281
                     23,                 1.4528,                 1.6687,                  1.636,                0.61002,                0.58214,                0.61132,                0.43468,                 1.3862,                 1.5495,                 1.5979,              0.0059775,              0.0059775,              0.0059775
                     24,                 1.4357,                 1.6377,                   1.62,                0.63826,                0.57552,                0.61629,                0.44829,                 1.3538,                 1.5554,                 1.5837,              0.0056704,              0.0056704,              0.0056704
                     25,                 1.4241,                 1.6191,                 1.6173,                0.62099,                0.58687,                0.61531,                0.44987,                 1.3484,                 1.5066,                 1.5682,              0.0053608,              0.0053608,              0.0053608
                     26,                 1.4247,                 1.6144,                 1.6083,                0.61481,                0.60051,                0.62642,                0.45087,                 1.3636,                 1.5247,                 1.5663,                0.00505,                0.00505,                0.00505
                     27,                 1.4057,                 1.5887,                  1.596,                0.64381,                0.60034,                0.63162,                 0.4656,                 1.2996,                  1.513,                 1.5362,              0.0047392,              0.0047392,              0.0047392
                     28,                 1.3931,                 1.5579,                 1.5795,                0.54011,                0.60073,                0.52134,                0.37075,                 1.3515,                 1.6626,                 1.5692,              0.0044296,              0.0044296,              0.0044296
                     29,                 1.3797,                  1.542,                 1.5721,                0.66868,                0.59827,                0.63162,                0.46698,                 1.3165,                 1.5053,                 1.5459,              0.0041225,              0.0041225,              0.0041225
                     30,                 1.3698,                 1.5242,                 1.5687,                0.64007,                0.61538,                0.61957,                0.45505,                   1.29,                  1.465,                 1.5195,               0.003819,               0.003819,               0.003819
                     31,                 1.3627,                 1.5096,                 1.5648,                0.64386,                0.60523,                0.63794,                0.47761,                 1.2662,                 1.4721,                 1.5147,              0.0035204,              0.0035204,              0.0035204
                     32,                 1.3555,                 1.4873,                 1.5506,                0.64452,                0.62806,                0.62492,                0.46555,                 1.2713,                 1.4697,                 1.5148,              0.0032278,              0.0032278,              0.0032278
